enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2260053,A10ATCA90002N74A,MUNICÍPIO DE ALCANENA,Armário Cacifo (9) Fech.100x44x185cm c/B.Met. -(Me)CinzaEsc/[PO](Me)CinzaC/R7035,5,,
ENC-A-2252279,A10BLC06M0S0O01A,MUNICÍPIO DE ALCANENA,Puff Curvo (BLC06M) 108x50x45cm - (Ps)Furacão_8006,1,,
ENC-A-2252279,A10BLC06M0S0L51A,MUNICÍPIO DE ALCANENA,Puff Curvo (BLC06M) 108x50x45cm - (Ps)Antracite_8016,1,,
ENC-A-2252279,A10BLC0600S0B22A,MUNICÍPIO DE ALCANENA,Puff CURVO Interior 85x49x45cm - (Ps)Furacão_8006,1,,
ENC-A-2252279,A10BLC0600S0W55A,MUNICÍPIO DE ALCANENA,Puff CURVO Interior 85x49x45cm - (Ps)Cyclame_8012,2,,
ENC-A-2252279,A10BLRD060S0L38A,MUNICÍPIO DE ALCANENA,Puff Redondo (BLRD - T06) Ø45x45cm - (Ps)Furacão_8006,1,,
ENC-A-2260100,A10BXBR6N0S0789A,FREGUESIA DE SALIR,Estante BOX 6 Compartimentos 104x44x81.5cm - (Me)Branco/R9016,6,,
ENC-A-2253241,A10ERSPCR0S0790B,AGRUP. DE ESCOLAS DA PÓVOA DE SANTA IRIA,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)100,30,,
ENC-A-2253402,A10ERGOS06S0Q48A,ESCOLA SECUNDÁRIA EÇA DE QUEIROZ,Cadeira ERGOS 06 - 50x50x46cm - (P)406,30,,
ENC-A-2253402,A10ERGOS06S0Q47A,ESCOLA SECUNDÁRIA EÇA DE QUEIROZ,Cadeira ERGOS 06 - 50x50x46cm - (P)623,30,,
ENC-A-2253425,A10ERGOS06S0Q47A,ASSOCIAÇÃO DIOGO DE AZAMBUJA,Cadeira ERGOS 06 - 50x50x46cm - (P)623,60,,
ENC-A-2260082,A10ERGOS06S0Q47A,EDUCHIADO LDA,Cadeira ERGOS 06 - 50x50x46cm - (P)623,58,,
ENC-A-2260082,A10ERGOS06S0Q47A,EDUCHIADO LDA,Cadeira ERGOS 06 - 50x50x46cm - (P)623,145,,
ENC-A-2260102,A10ERGOS06S0Q47A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS 06 - 50x50x46cm - (P)623,36,,
